Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
2738,Cozzano,A,Early Imperial Period,8,-30,100,130,0.99977684
2738,Cozzano,A,Mid-Imperial Period,9,100,300,200,0.99977684
2738,Cozzano,A,Late Imperial Period,10,300,500,200,0.99977684
2739,casale Bellini,A,Early Imperial Period,8,-30,100,130,0.94230914
2739,casale Bellini,A,Mid-Imperial Period,9,100,300,200,0.94230914
2739,casale Bellini,A,Late Imperial Period,10,300,500,200,0.94230914
2740,casale Imperi,A,Early Imperial Period,8,-30,100,130,0.88770264
2740,casale Imperi,A,Mid-Imperial Period,9,100,300,200,0.88770264
2740,casale Imperi,A,Late Imperial Period,10,300,500,200,0.88770264
2741,,A,Archaic Period,6,-400,-350,50,0.7202636
2741,,A,Republican Period,7,-350,-200,150,0.7202636
2741,,B,Early Imperial Period,8,-30,100,130,0.7202636
2741,,B,Mid-Imperial Period,9,100,300,200,0.7202636
2741,,B,Late Imperial Period,10,300,500,200,0.7202636
2742,,A,Republican Period,7,-300,-200,100,0.94691145
2742,,B,Early Imperial Period,8,-30,100,130,0.94691145
2742,,B,Mid-Imperial Period,9,100,300,200,0.94691145
2742,,B,Late Imperial Period,10,300,500,200,0.94691145
2743,,A,Early Imperial Period,8,-30,100,130,0.60777426
2743,,A,Mid-Imperial Period,9,100,300,200,0.60777426
2743,,A,Late Imperial Period,10,300,500,200,0.60777426
2744,,A,Early Bronze Age,1,-2300,-1700,600,0.26471078
2744,,A,Middle Bronze Age,2,-1700,-1300,400,0.26471078
2744,,A,Late Bronze Age,3,-1300,-1020,280,0.26471078
2744,,A,Early Iron Age,4,-1020,-1000,20,0.26471078
2745,,A,Republican Period,7,-200,-30,170,1.0659646
2745,,A,Early Imperial Period,8,-30,100,130,1.0659646
2746,,A,Republican Period,7,-200,-30,170,2.0017791
2746,,A,Early Imperial Period,8,-30,100,130,2.0017791
2746,,A,Mid-Imperial Period,9,100,300,200,2.0017791
2746,,A,Late Imperial Period,10,300,500,200,2.0017791
2747,,A,Republican Period,7,-200,-30,170,1.5766369
2748,villa di Munazio Planco,A,Republican Period,7,-200,-30,170,1.7919302
2748,villa di Munazio Planco,A,Early Imperial Period,8,-30,100,130,1.7919302
2748,villa di Munazio Planco,A,Mid-Imperial Period,9,100,300,200,1.7919302
2748,villa di Munazio Planco,A,Late Imperial Period,10,300,500,200,1.7919302
2749,,A,Republican Period,7,-200,-30,170,1.5176672
2749,,A,Early Imperial Period,8,-30,100,130,1.5176672
2749,,A,Mid-Imperial Period,9,100,300,200,1.5176672
2749,,A,Late Imperial Period,10,300,500,200,1.5176672
2750,,A,Early Imperial Period,8,-30,100,130,1.6130885
2750,,A,Mid-Imperial Period,9,100,300,200,1.6130885
2750,,A,Late Imperial Period,10,300,500,200,1.6130885
2751,Villa dei Pisoni,A,Republican Period,7,-200,-30,170,2.4180591
2751,Villa dei Pisoni,A,Early Imperial Period,8,-30,100,130,2.4180591
2751,Villa dei Pisoni,A,Mid-Imperial Period,9,100,300,200,2.4180591
2751,Villa dei Pisoni,A,Late Imperial Period,10,300,500,200,2.4180591
2752,contrada Pisoni,A,Republican Period,7,-200,-30,170,1.910756
2752,contrada Pisoni,A,Early Imperial Period,8,-30,100,130,1.910756
2752,contrada Pisoni,A,Mid-Imperial Period,9,100,300,200,1.910756
2752,contrada Pisoni,A,Late Imperial Period,10,300,500,200,1.910756
2753,contrada Pisoni,A,Republican Period,7,-200,-30,170,0.50856495
2753,contrada Pisoni,A,Early Imperial Period,8,-30,100,130,0.50856495
2753,contrada Pisoni,A,Mid-Imperial Period,9,100,300,200,0.50856495
2753,contrada Pisoni,A,Late Imperial Period,10,300,500,200,0.50856495
2754,,A,Republican Period,7,-200,-30,170,1.6163111
2754,,A,Early Imperial Period,8,-30,100,130,1.6163111
2754,,A,Mid-Imperial Period,9,100,300,200,1.6163111
2755,,A,Republican Period,7,-200,-30,170,1.1652334
2755,,A,Early Imperial Period,8,-30,100,130,1.1652334
2755,,A,Mid-Imperial Period,9,100,300,200,1.1652334
2755,,A,Late Imperial Period,10,300,500,200,1.1652334
2756,,A,Republican Period,7,-100,-30,70,1.0671817
2756,,A,Early Imperial Period,8,-30,100,130,1.0671817
2756,,A,Mid-Imperial Period,9,100,300,200,1.0671817
2756,,A,Late Imperial Period,10,300,500,200,1.0671817
2757,,A,Republican Period,7,-100,-30,70,1.3155324
2757,,A,Early Imperial Period,8,-30,100,130,1.3155324
2757,,A,Mid-Imperial Period,9,100,300,200,1.3155324
2757,,A,Late Imperial Period,10,300,500,200,1.3155324
2758,Pianelle dei Signori Reali,A,Republican Period,7,-200,-30,170,1.4416808
2758,Pianelle dei Signori Reali,A,Early Imperial Period,8,-30,100,130,1.4416808
2758,Pianelle dei Signori Reali,A,Mid-Imperial Period,9,100,300,200,1.4416808
2758,Pianelle dei Signori Reali,A,Late Imperial Period,10,300,500,200,1.4416808
2759,Casale Rosa,A,Republican Period,7,-200,-30,170,1.460204
2759,Casale Rosa,A,Early Imperial Period,8,-30,100,130,1.460204
2759,Casale Rosa,A,Mid-Imperial Period,9,100,300,200,1.460204
2759,Casale Rosa,A,Late Imperial Period,10,300,500,200,1.460204
2760,,A,Republican Period,7,-200,-30,170,1.59101
2760,,A,Early Imperial Period,8,-30,100,130,1.59101
2760,,A,Mid-Imperial Period,9,100,300,200,1.59101
2760,,A,Late Imperial Period,10,300,500,200,1.59101
2761,Grotta Papale,A,Republican Period,7,-200,-30,170,2.4051938
2761,Grotta Papale,A,Early Imperial Period,8,-30,100,130,2.4051938
2761,Grotta Papale,A,Mid-Imperial Period,9,100,300,200,2.4051938
2761,Grotta Papale,A,Late Imperial Period,10,300,500,200,2.4051938
2762,,A,Early Imperial Period,8,-30,100,130,1.0469861
2762,,A,Mid-Imperial Period,9,100,300,200,1.0469861
2762,,A,Late Imperial Period,10,300,500,200,1.0469861
2763,,A,Late Iron Age,5,-600,-580,20,0.61740202
2763,,A,Archaic Period,6,-580,-350,230,0.61740202
2763,,A,Republican Period,7,-350,-200,150,0.61740202
2764,,A,Early Imperial Period,8,-30,100,130,0.95313567
2764,,A,Mid-Imperial Period,9,100,300,200,0.95313567
2764,,A,Late Imperial Period,10,300,500,200,0.95313567
2765,Quarto Pomata,A,Early Imperial Period,8,-30,100,130,1.1759117
2765,Quarto Pomata,A,Mid-Imperial Period,9,100,300,200,1.1759117
2765,Quarto Pomata,A,Late Imperial Period,10,300,500,200,1.1759117
2766,,A,Early Imperial Period,8,-30,100,130,1.1672111
2766,,A,Mid-Imperial Period,9,100,300,200,1.1672111
2766,,A,Late Imperial Period,10,300,500,200,1.1672111
2767,casale S. Angelo,A,Republican Period,7,-200,-30,170,1.0880061
2767,casale S. Angelo,A,Early Imperial Period,8,-30,100,130,1.0880061
2767,casale S. Angelo,A,Mid-Imperial Period,9,100,300,200,1.0880061
2767,casale S. Angelo,A,Late Imperial Period,10,300,500,200,1.0880061
2768,,A,Early Imperial Period,8,-30,100,130,1.0562057
2768,,A,Mid-Imperial Period,9,100,300,200,1.0562057
2768,,A,Late Imperial Period,10,300,500,200,1.0562057
2769,,A,Early Iron Age,4,-800,-750,50,0.23223655
2769,,A,Late Iron Age,5,-750,-700,50,0.23223655
2770,Galli,A,Republican Period,7,-200,-30,170,1.0610981
2771,,A,Republican Period,7,-200,-30,170,1.0122917
2771,,A,Early Imperial Period,8,-30,100,130,1.0122917
2771,,A,Mid-Imperial Period,9,100,300,200,1.0122917
2771,,A,Late Imperial Period,10,300,500,200,1.0122917
2772,,A,Early Imperial Period,8,-30,100,130,0.51786172
2772,,A,Mid-Imperial Period,9,100,300,200,0.51786172
2772,,A,Late Imperial Period,10,300,500,200,0.51786172
2773,,A,Republican Period,7,-200,-30,170,1.4445683
2773,,A,Early Imperial Period,8,-30,100,130,1.4445683
2773,,A,Mid-Imperial Period,9,100,300,200,1.4445683
2773,,A,Late Imperial Period,10,300,500,200,1.4445683
2774,,A,Early Imperial Period,8,-30,100,130,0.97305304
2774,,A,Mid-Imperial Period,9,100,300,200,0.97305304
2774,,A,Late Imperial Period,10,300,500,200,0.97305304
2775,,A,Early Imperial Period,8,1,100,99,1.0638779
2775,,A,Mid-Imperial Period,9,100,200,100,1.0638779
2776,,A,Mid-Imperial Period,9,100,300,200,1.808586
2776,,A,Late Imperial Period,10,300,500,200,1.808586
2777,colle di S. Stefano,A,Republican Period,7,-200,-30,170,7.9092851
2777,colle di S. Stefano,A,Early Imperial Period,8,-30,100,130,7.9092851
2777,colle di S. Stefano,A,Mid-Imperial Period,9,100,300,200,7.9092851
2777,colle di S. Stefano,A,Late Imperial Period,10,300,500,200,7.9092851
2778,,A,Republican Period,7,-200,-30,170,1.4315628
2778,,A,Early Imperial Period,8,-30,100,130,1.4315628
2778,,A,Mid-Imperial Period,9,100,300,200,1.4315628
2778,,A,Late Imperial Period,10,300,500,200,1.4315628
2779,,A,Early Imperial Period,8,-30,100,130,1.1406462
2779,,A,Mid-Imperial Period,9,100,300,200,1.1406462
2779,,A,Late Imperial Period,10,300,500,200,1.1406462
2780,,A,Republican Period,7,-200,-30,170,1.21439
2780,,A,Early Imperial Period,8,-30,100,130,1.21439
2780,,A,Mid-Imperial Period,9,100,300,200,1.21439
2780,,A,Late Imperial Period,10,300,500,200,1.21439
2781,,A,Republican Period,7,-100,-30,70,1.4494275
2781,,A,Early Imperial Period,8,-30,100,130,1.4494275
2781,,A,Mid-Imperial Period,9,100,300,200,1.4494275
2781,,A,Late Imperial Period,10,300,500,200,1.4494275
2782,colle Fiorito,A,Late Iron Age,5,-700,-600,100,0.68131626
2782,colle Fiorito,B,Early Imperial Period,8,-30,100,130,1.3455541
2782,colle Fiorito,B,Mid-Imperial Period,9,100,300,200,1.3455541
2782,colle Fiorito,B,Late Imperial Period,10,300,500,200,1.3455541
2783,,A,Early Imperial Period,8,-30,100,130,1.3363793
2783,,A,Mid-Imperial Period,9,100,300,200,1.3363793
2783,,A,Late Imperial Period,10,300,500,200,1.3363793
2784,,A,Early Bronze Age,1,-2300,-1700,600,1.3915558
2784,,A,Middle Bronze Age,2,-1700,-1300,400,1.3915558
2784,,A,Late Bronze Age,3,-1300,-1020,280,1.3915558
2784,,A,Early Iron Age,4,-1020,-750,270,1.3915558
2784,,A,Late Iron Age,5,-750,-580,170,1.3915558
2784,,A,Archaic Period,6,-580,-500,80,1.3915558
2785,casale di Corcolle,A,Early Imperial Period,8,1,100,99,1.3101873
2785,casale di Corcolle,A,Mid-Imperial Period,9,100,300,200,1.3101873
2785,casale di Corcolle,A,Late Imperial Period,10,300,500,200,1.3101873
2786,,A,Early Imperial Period,8,1,100,99,0.97976077
2786,,A,Mid-Imperial Period,9,100,300,200,0.97976077
2786,,A,Late Imperial Period,10,300,500,200,0.97976077
2787,colle Cesarano,A,Early Imperial Period,8,1,100,99,1.1717288
2787,colle Cesarano,A,Mid-Imperial Period,9,100,300,200,1.1717288
2787,colle Cesarano,A,Late Imperial Period,10,300,500,200,1.1717288
2788,colle Cesarano,A,Early Imperial Period,8,1,100,99,1.3056033
2788,colle Cesarano,A,Mid-Imperial Period,9,100,300,200,1.3056033
2788,colle Cesarano,A,Late Imperial Period,10,300,500,200,1.3056033
2789,,A,Early Imperial Period,8,1,100,99,1.053949
2789,,A,Mid-Imperial Period,9,100,300,200,1.053949
2789,,A,Late Imperial Period,10,300,500,200,1.053949
2790,colle Cesarano,A,Late Iron Age,5,-700,-580,120,0.96627617
2790,colle Cesarano,A,Archaic Period,6,-580,-500,80,0.96627617
2791,,A,Republican Period,7,-200,-30,170,0.91536957
2791,,A,Early Imperial Period,8,-30,100,130,0.91536957
2791,,A,Mid-Imperial Period,9,100,300,200,0.91536957
2791,,A,Late Imperial Period,10,300,500,200,0.91536957
2792,,A,Early Imperial Period,8,1,100,99,1.5030762
2792,,A,Mid-Imperial Period,9,100,200,100,1.5030762
2793,colle Merulino,A,Republican Period,7,-200,-30,170,1.4523408
2793,colle Merulino,A,Early Imperial Period,8,-30,100,130,1.4523408
2793,colle Merulino,A,Mid-Imperial Period,9,100,300,200,1.4523408
2793,colle Merulino,A,Late Imperial Period,10,300,500,200,1.4523408
2794,,A,Early Imperial Period,8,-30,100,130,1.0601021
2794,,A,Mid-Imperial Period,9,100,300,200,1.0601021
2794,,A,Late Imperial Period,10,300,500,200,1.0601021
2795,,A,Late Iron Age,5,-700,-580,120,0.63417703
2795,,A,Archaic Period,6,-580,-500,80,0.63417703
2795,,B,Republican Period,7,-100,-30,70,1.5764161
2795,,B,Early Imperial Period,8,-30,100,130,1.5764161
2795,,B,Mid-Imperial Period,9,100,300,200,1.5764161
2795,,B,Late Imperial Period,10,300,500,200,1.5764161
2796,,A,Republican Period,7,-200,-30,170,1.3209671
2796,,A,Early Imperial Period,8,-30,100,130,1.3209671
2796,,A,Mid-Imperial Period,9,100,300,200,1.3209671
2796,,A,Late Imperial Period,10,300,500,200,1.3209671
2797,,A,Republican Period,7,-200,-30,170,1.1471604
2797,,A,Early Imperial Period,8,-30,100,130,1.1471604
2797,,A,Mid-Imperial Period,9,100,300,200,1.1471604
2797,,A,Late Imperial Period,10,300,500,200,1.1471604
2798,,A,Early Imperial Period,8,-30,100,130,1.3997651
2798,,A,Mid-Imperial Period,9,100,300,200,1.3997651
2798,,A,Late Imperial Period,10,300,500,200,1.3997651
2799,,A,Early Imperial Period,8,-30,100,130,1.3999032
2799,,A,Mid-Imperial Period,9,100,300,200,1.3999032
2799,,A,Late Imperial Period,10,300,500,200,1.3999032
2800,,A,Republican Period,7,-200,-30,170,1.1555901
2800,,A,Early Imperial Period,8,-30,100,130,1.1555901
2800,,A,Mid-Imperial Period,9,100,300,200,1.1555901
2800,,A,Late Imperial Period,10,300,500,200,1.1555901
2801,localita' S. Martino,A,Republican Period,7,-200,-30,170,1.9016795
2801,localita' S. Martino,A,Early Imperial Period,8,-30,100,130,1.9016795
2801,localita' S. Martino,A,Mid-Imperial Period,9,100,300,200,1.9016795
2801,localita' S. Martino,A,Late Imperial Period,10,300,500,200,1.9016795
2802,,A,Early Bronze Age,1,-2300,-1700,600,0.37152171
2802,,B,Early Iron Age,4,-800,-750,50,0.37152171
2802,,B,Late Iron Age,5,-750,-600,150,0.37152171
2803,,A,Early Bronze Age,1,-2300,-1700,600,0.1876483
2803,,A,Middle Bronze Age,2,-1700,-1300,400,0.1876483
2803,,A,Late Bronze Age,3,-1300,-1020,280,0.1876483
2803,,B,Early Iron Age,4,-1020,-750,270,0.1876483
2803,,B,Late Iron Age,5,-750,-600,150,0.1876483
2804,,A,Early Bronze Age,1,-2300,-1700,600,0.2093579
2804,,A,Middle Bronze Age,2,-1700,-1300,400,0.2093579
2805,fosso di Ponte Terra,A,Middle Bronze Age,2,-1700,-1300,400,0.14901726
2806,,A,Early Bronze Age,1,-2300,-1700,600,0.26345527
2806,,A,Middle Bronze Age,2,-1700,-1300,400,0.26345527
2806,,A,Late Bronze Age,3,-1300,-1020,280,0.26345527
2806,,A,Early Iron Age,4,-1020,-800,220,0.26345527
2807,colle S. Stefano,A,Late Iron Age,5,-700,-580,120,0.38155961
2807,colle S. Stefano,A,Archaic Period,6,-580,-500,80,0.38155961
2808,Tor Cervara,A,Early Imperial Period,8,-30,100,130,0.88735527
2808,Tor Cervara,A,Mid-Imperial Period,9,100,300,200,0.88735527
2808,Tor Cervara,A,Late Imperial Period,10,300,500,200,0.88735527
2809,Tor Cervara,A,Republican Period,7,-300,-30,270,1.3297923
2809,Tor Cervara,A,Early Imperial Period,8,-30,100,130,1.3297923
2809,Tor Cervara,A,Mid-Imperial Period,9,100,300,200,1.3297923
2809,Tor Cervara,A,Late Imperial Period,10,300,500,200,1.3297923
2810,Cervelletta,A,Early Imperial Period,8,-30,100,130,1.4468025
2810,Cervelletta,A,Mid-Imperial Period,9,100,300,200,1.4468025
2810,Cervelletta,A,Late Imperial Period,10,300,500,200,1.4468025
2811,casale Bonetta,A,Early Imperial Period,8,-30,100,130,0.73029315
2811,casale Bonetta,A,Mid-Imperial Period,9,100,300,200,0.73029315
2811,casale Bonetta,A,Late Imperial Period,10,300,500,200,0.73029315
2812,casale Bonetta,A,Republican Period,7,-100,-30,70,0.58253396
2813,casale Bonetta,A,Early Iron Age,4,-1000,-800,200,0.71145362
2814,casale Bonetta,A,Republican Period,7,-300,-30,270,0.60709995
2814,casale Bonetta,A,Early Imperial Period,8,-30,100,130,0.60709995
2814,casale Bonetta,A,Mid-Imperial Period,9,100,300,200,0.60709995
2814,casale Bonetta,A,Late Imperial Period,10,300,500,200,0.60709995
2815,torre della Rustica,A,Late Iron Age,5,-600,-580,20,0.75843036
2815,torre della Rustica,A,Archaic Period,6,-580,-500,80,0.75843036
2815,torre della Rustica,B,Early Imperial Period,8,-30,100,130,0.75843036
2815,torre della Rustica,B,Mid-Imperial Period,9,100,300,200,0.75843036
2815,torre della Rustica,B,Late Imperial Period,10,300,500,200,0.75843036
2816,torre della Rustica,A,Early Imperial Period,8,-30,100,130,0.73685414
2816,torre della Rustica,A,Mid-Imperial Period,9,100,300,200,0.73685414
2816,torre della Rustica,A,Late Imperial Period,10,300,500,200,0.73685414
2817,La Rustica,A,Early Imperial Period,8,-30,100,130,0.34093335
2817,La Rustica,A,Mid-Imperial Period,9,100,300,200,0.34093335
2817,La Rustica,A,Late Imperial Period,10,300,500,200,0.34093335
2818,La Rustica,A,Archaic Period,6,-500,-400,100,0.70238417
2819,,A,Early Imperial Period,8,-30,100,130,0.85541809
2819,,A,Mid-Imperial Period,9,100,300,200,0.85541809
2819,,A,Late Imperial Period,10,300,500,200,0.85541809
2820,,A,Early Imperial Period,8,-30,100,130,0.70684987
2820,,A,Mid-Imperial Period,9,100,300,200,0.70684987
2820,,A,Late Imperial Period,10,300,500,200,0.70684987
2821,colle Le Piscine,A,Early Imperial Period,8,-30,100,130,0.56490183
2821,colle Le Piscine,A,Mid-Imperial Period,9,100,300,200,0.56490183
2821,colle Le Piscine,A,Late Imperial Period,10,300,500,200,0.56490183
2822,Quarto di S. Eusebio,A,Late Iron Age,5,-600,-580,20,2.580169
2822,Quarto di S. Eusebio,A,Archaic Period,6,-580,-400,180,2.580169
2823,Torraccia,A,Early Imperial Period,8,-30,100,130,0.70122766
2823,Torraccia,A,Mid-Imperial Period,9,100,300,200,0.70122766
2823,Torraccia,A,Late Imperial Period,10,300,500,200,0.70122766
2824,Torre di S. Eusebio,A,Mid-Imperial Period,9,200,300,100,0.66154444
2824,Torre di S. Eusebio,A,Late Imperial Period,10,300,500,200,0.66154444
2825,Torre della Rustica,A,Archaic Period,6,-400,-350,50,0.85365176
2825,Torre della Rustica,A,Republican Period,7,-350,-200,150,0.85365176
2825,Torre della Rustica,B,Early Imperial Period,8,-30,100,130,0.85365176
2825,Torre della Rustica,B,Mid-Imperial Period,9,100,300,200,0.85365176
2825,Torre della Rustica,B,Late Imperial Period,10,300,500,200,0.85365176
2826,settlement (villa),A,Early Imperial Period,8,-30,100,130,0.48388854
2826,settlement (villa),A,Mid-Imperial Period,9,100,300,200,0.48388854
2826,settlement (villa),A,Late Imperial Period,10,300,500,200,0.48388854
2827,Torre di S. Eusebio,A,Early Imperial Period,8,-30,100,130,0.12906314
2827,Torre di S. Eusebio,A,Mid-Imperial Period,9,100,300,200,0.12906314
2827,Torre di S. Eusebio,A,Late Imperial Period,10,300,500,200,0.12906314
2828,casale di Salone,A,Early Imperial Period,8,-30,100,130,1.3327657
2828,casale di Salone,A,Mid-Imperial Period,9,100,300,200,1.3327657
2828,casale di Salone,A,Late Imperial Period,10,300,500,200,1.3327657
2829,casale di Salone,A,Early Imperial Period,8,-30,100,130,0.56516582
2829,casale di Salone,A,Mid-Imperial Period,9,100,300,200,0.56516582
2829,casale di Salone,A,Late Imperial Period,10,300,500,200,0.56516582
2830,casale di Salone,A,Early Imperial Period,8,-30,100,130,0.53923059
2830,casale di Salone,A,Mid-Imperial Period,9,100,300,200,0.53923059
2830,casale di Salone,A,Late Imperial Period,10,300,500,200,0.53923059
2831,casale di Salone,A,Archaic Period,6,-500,-350,150,0.2877005
2831,casale di Salone,A,Republican Period,7,-350,-30,320,0.2877005
2832,casale di Salone,A,Republican Period,7,-200,-30,170,1.6431324
2832,casale di Salone,A,Early Imperial Period,8,-30,100,130,1.6431324
2832,casale di Salone,A,Mid-Imperial Period,9,100,300,200,1.6431324
2832,casale di Salone,A,Late Imperial Period,10,300,500,200,1.6431324
2833,Vigne di Salone,A,Late Iron Age,5,-600,-580,20,0.82462388
2833,Vigne di Salone,A,Archaic Period,6,-580,-500,80,0.82462388
2834,casale di Salone Vecchio,A,Early Imperial Period,8,-30,100,130,1.8168056
2834,casale di Salone Vecchio,A,Mid-Imperial Period,9,100,300,200,1.8168056
2834,casale di Salone Vecchio,A,Late Imperial Period,10,300,500,200,1.8168056
2835,Salone,A,Late Imperial Period,10,300,500,200,1.818431
2836,Torre di S. Eusebio,A,Early Imperial Period,8,-30,100,130,0.38991842
2836,Torre di S. Eusebio,A,Mid-Imperial Period,9,100,300,200,0.38991842
2836,Torre di S. Eusebio,A,Late Imperial Period,10,300,500,200,0.38991842
2837,Case Rosse,A,Early Imperial Period,8,-30,100,130,0.51486742
2837,Case Rosse,A,Mid-Imperial Period,9,100,300,200,0.51486742
2837,Case Rosse,A,Late Imperial Period,10,300,500,200,0.51486742
2838,Case Rosse,A,Early Imperial Period,8,-30,100,130,0.39443427
2838,Case Rosse,A,Mid-Imperial Period,9,100,300,200,0.39443427
2838,Case Rosse,A,Late Imperial Period,10,300,500,200,0.39443427
2839,Case Rosse,A,Late Iron Age,5,-600,-580,20,0.36478364
2839,Case Rosse,A,Archaic Period,6,-580,-500,80,0.36478364
2840,Case Rosse,A,Early Imperial Period,8,-30,100,130,0.63438231
2840,Case Rosse,A,Mid-Imperial Period,9,100,300,200,0.63438231
2840,Case Rosse,A,Late Imperial Period,10,300,500,200,0.63438231
2841,Case Rosse,A,Early Imperial Period,8,-30,100,130,1.1197243
2841,Case Rosse,A,Mid-Imperial Period,9,100,300,200,1.1197243
2841,Case Rosse,A,Late Imperial Period,10,300,500,200,1.1197243
2842,Case Rosse,A,Early Imperial Period,8,-30,100,130,0.41044411
2842,Case Rosse,A,Mid-Imperial Period,9,100,300,200,0.41044411
2842,Case Rosse,A,Late Imperial Period,10,300,500,200,0.41044411
2843,Case Rosse,A,Archaic Period,6,-500,-400,100,0.59064156
2844,Case Rosse,A,Archaic Period,6,-500,-400,100,0.31550121
2844,Case Rosse,B,Early Imperial Period,8,-30,100,130,0.31550121
2844,Case Rosse,B,Mid-Imperial Period,9,100,300,200,0.31550121
2844,Case Rosse,B,Late Imperial Period,10,300,500,200,0.31550121
2845,Casale Rosso,A,Late Iron Age,5,-600,-580,20,2.8425825
2845,Casale Rosso,A,Archaic Period,6,-580,-500,80,2.8425825
2846,Casale Rosso,A,Republican Period,7,-300,-30,270,0.40835452
2847,Casale Rosso,A,Early Imperial Period,8,-30,100,130,0.47307783
2847,Casale Rosso,A,Mid-Imperial Period,9,100,300,200,0.47307783
2847,Casale Rosso,A,Late Imperial Period,10,300,500,200,0.47307783
2848,Casale Rosso,A,Early Imperial Period,8,-30,100,130,0.39447275
2848,Casale Rosso,A,Mid-Imperial Period,9,100,300,200,0.39447275
2848,Casale Rosso,A,Late Imperial Period,10,300,500,200,0.39447275
2849,Casale del Cavaliere,A,Archaic Period,6,-400,-350,50,1.8551961
2849,Casale del Cavaliere,A,Republican Period,7,-350,-200,150,1.8551961
2850,Casale del Cavaliere,A,Archaic Period,6,-500,-350,150,0.5871982
2850,Casale del Cavaliere,A,Republican Period,7,-350,-30,320,0.5871982
2851,Casale del Cavaliere,A,Archaic Period,6,-500,-400,100,0.90859663
2851,Casale del Cavaliere,B,Early Imperial Period,8,-30,100,130,0.90859663
2851,Casale del Cavaliere,B,Mid-Imperial Period,9,100,300,200,0.90859663
2851,Casale del Cavaliere,B,Late Imperial Period,10,300,500,200,0.90859663
2852,Casale del Cavaliere,A,Early Imperial Period,8,-30,100,130,2.1882715
2852,Casale del Cavaliere,A,Mid-Imperial Period,9,100,300,200,2.1882715
2852,Casale del Cavaliere,A,Late Imperial Period,10,300,500,200,2.1882715
2853,,A,Archaic Period,6,-500,-400,100,0.45845729
2853,,B,Early Imperial Period,8,-30,100,130,0.45845729
2853,,B,Mid-Imperial Period,9,100,300,200,0.45845729
2853,,B,Late Imperial Period,10,300,500,200,0.45845729
2854,,A,Early Imperial Period,8,-30,100,130,0.58473653
2854,,A,Mid-Imperial Period,9,100,300,200,0.58473653
2854,,A,Late Imperial Period,10,300,500,200,0.58473653
2855,,A,Early Imperial Period,8,-30,100,130,0.6484108
2855,,A,Mid-Imperial Period,9,100,300,200,0.6484108
2855,,A,Late Imperial Period,10,300,500,200,0.6484108
2856,Casalone dell'Osa,A,Early Imperial Period,8,-30,100,130,1.1205393
2856,Casalone dell'Osa,A,Mid-Imperial Period,9,100,300,200,1.1205393
2856,Casalone dell'Osa,A,Late Imperial Period,10,300,500,200,1.1205393
2857,,A,Early Imperial Period,8,-30,100,130,0.8026042
2857,,A,Mid-Imperial Period,9,100,300,200,0.8026042
2857,,A,Late Imperial Period,10,300,500,200,0.8026042
2858,,A,Early Imperial Period,8,-30,100,130,0.62478673
2858,,A,Mid-Imperial Period,9,100,300,200,0.62478673
2858,,A,Late Imperial Period,10,300,500,200,0.62478673
2859,,A,Early Imperial Period,8,-30,100,130,0.56668788
2859,,A,Mid-Imperial Period,9,100,300,200,0.56668788
2859,,A,Late Imperial Period,10,300,500,200,0.56668788
2860,Lunghezza,A,Archaic Period,6,-400,-350,50,2.189487
2860,Lunghezza,A,Republican Period,7,-350,-30,320,2.189487
2860,Lunghezza,A,Early Imperial Period,8,-30,100,130,2.189487
2860,Lunghezza,A,Mid-Imperial Period,9,100,300,200,2.189487
2860,Lunghezza,A,Late Imperial Period,10,300,500,200,2.189487
2861,Lunghezza,A,Early Imperial Period,8,-30,100,130,1.3146791
2861,Lunghezza,A,Mid-Imperial Period,9,100,300,200,1.3146791
2861,Lunghezza,A,Late Imperial Period,10,300,500,200,1.3146791
2862,,A,Archaic Period,6,-400,-350,50,1.283097
2862,,A,Republican Period,7,-350,-200,150,1.283097
2862,,B,Early Imperial Period,8,-30,100,130,1.283097
2862,,B,Mid-Imperial Period,9,100,300,200,1.283097
2862,,B,Late Imperial Period,10,300,500,200,1.283097
2863,casale Bonzone,A,Early Imperial Period,8,-30,100,130,0.79747307
2863,casale Bonzone,A,Mid-Imperial Period,9,100,300,200,0.79747307
2863,casale Bonzone,A,Late Imperial Period,10,300,500,200,0.79747307
2864,casale Bonzone,A,Early Imperial Period,8,-30,100,130,2.3914356
2864,casale Bonzone,A,Mid-Imperial Period,9,100,300,200,2.3914356
2864,casale Bonzone,A,Late Imperial Period,10,300,500,200,2.3914356
2865,casale Cerrone,A,Early Imperial Period,8,-30,100,130,0.92406344
2865,casale Cerrone,A,Mid-Imperial Period,9,100,300,200,0.92406344
2865,casale Cerrone,A,Late Imperial Period,10,300,500,200,0.92406344
2866,casale Cerrone,A,Early Imperial Period,8,-30,100,130,0.88610941
2866,casale Cerrone,A,Mid-Imperial Period,9,100,300,200,0.88610941
2866,casale Cerrone,A,Late Imperial Period,10,300,500,200,0.88610941
2867,casale Cerroncino,A,Early Imperial Period,8,-30,100,130,0.8175751
2867,casale Cerroncino,A,Mid-Imperial Period,9,100,300,200,0.8175751
2867,casale Cerroncino,A,Late Imperial Period,10,300,500,200,0.8175751
2868,casale Cerroncino,A,Early Imperial Period,8,-30,100,130,0.80188537
2868,casale Cerroncino,A,Mid-Imperial Period,9,100,300,200,0.80188537
